,token,lisa
681,one,-0.004898160278737799
682,side,-0.019395028739639608
683,probability,0.035550735496569626
684,expense,0.02873459856039246
685,redress,0.032551103919240876
686,say,-0.023579896554733814
687,every,0.01828122450045908
688,man,-0.026621861137500372
689,shall,0.020238924239439255
690,judge,0.01518631580492232
691,paley,0.020662179985573022
692,appear,-0.010362023020096088
693,never,-0.008150078033829002
694,contemplate,-0.013694481086781257
695,case,0.04040505338359024
696,rule,0.003178648703281403
697,expediency,0.01287252461900336
698,apply,0.018935283443350076
699,people,-0.01146805048413691
700,well,-0.0411495668480558
701,individual,0.003415116182827391
702,must,0.0697055164025692
703,justice,0.004122555207050746
704,cost,0.010067256902707695
705,may,0.02224326107086604
706,unjustly,0.005174280808351757
707,wrest,-0.00021053226760469953
708,plank,-0.0220481001864894
709,drown,0.012485409351753915
710,man,-0.018666800510021963
711,must,0.057829789316948356
712,restore,0.017033600387868348
713,though,0.0033466643424757813
714,drown,0.009097313623983853
715,accord,-0.003497580588374188
716,paley,0.032754974300456687
717,would,0.0491646124234528
718,inconvenient,-0.007501995705451061
719,would,0.04454521640504762
720,save,0.01805942795399444
721,life,-0.011115702807484154
722,case,0.0003523280071412306
723,shall,0.018860332603118722
724,lose,0.014594318002398576
725,people,0.013805011566890842
726,must,0.03960629571629777
727,cease,-0.0032140974576234244
728,hold,-0.007055452157688559
729,slave,-0.0034543019025978245
730,make,-0.013441616963524758
731,war,0.0010786424430244384
732,mexico,-0.006764452365262639
733,though,0.006235109697916524
734,cost,-6.875295380398223e-05
735,existence,0.005306145683576672
736,people,0.017712713201089893
737,practice,-0.00831805050465878
738,nation,0.005827675259793439
739,agree,-0.011389943444859357
740,paley,0.019654910927300203
741,anyone,-0.019314835131615193
742,think,-0.02081343931628424
743,massachusetts,0.03639909736279981
744,exactly,-0.005709017358152968
745,right,-0.018435081115577057
746,present,-0.008992817880021053
747,crisis,0.004365270402193075
748,drab,-0.004486472877526119
749,stat,0.0010670916303699776
750,slut,0.007363927863712799
751,train,0.006263474588213972
752,borne,-0.002173411141516593
753,soul,-0.007505473574785816
754,trail,0.016594232523824352
755,dirt,0.015605159465710335
756,practically,-0.008326790752920558
757,speak,-0.015547796090958604
758,opponent,0.005272399555259577
759,reform,0.018531940208425045
760,massachusetts,0.0495242173553354
761,hundred,0.046850160535522274
762,thousand,0.04431622335811496
763,politician,0.051926923803419046
764,south,0.038424763859837764
765,hundred,0.045148770005746595
766,thousand,0.046287125779637395
767,merchant,0.03874231067706759
768,farmer,0.042301330006471675
769,interested,-0.010711952088878637
770,commerce,0.04174137952373273
771,agriculture,0.04613482175553256
772,humanity,-0.008354286083508345
773,prepared,0.0028953830311808917
774,justice,0.010927927496110828
775,slave,0.013760338233884636
776,mexico,0.01892591353279207
777,cost,0.014580352140025345
778,may,-0.005689925099593981
779,quarrel,-0.010803544260994849
780,foe,-0.003524579139061391
781,near,0.030251339175492244
782,home,0.029042188652941735
783,cooperate,-0.028192100671380844
